RowID,Level,Term,SeeAlso,NonEssModif,MalignantPrimary,MalignantSecondary,CaInSitu,Benign,UncertainBehavior,UnspecifiedBehavior
29,2,ridge or process,,,C41.1,C79.51,-,D16.5-,D48.0,D49.2
30,3,carcinoma,,,C03.9,C79.8-,-,-,-,-
31,4,lower,,,C03.1,C79.8-,-,-,-,-
32,4,upper,,,C03.0,C79.8-,-,-,-,-
33,3,lower,,,C41.1,C79.51,-,D16.5-,D48.0,D49.2
34,3,mucosa,,,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
35,4,lower,,,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
36,4,upper,,,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
37,3,upper,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
38,2,sulcus,,,C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
39,1,alveolus,,,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
40,2,lower,,,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
41,2,upper,,,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
42,1,ampulla of Vater,,,C24.1,C78.89,D01.5,D13.5,D37.6,D49.0
43,1,ankle NEC,,,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
44,1,"anorectum, anorectal",,(junction),C21.8,C78.5,D01.3,D12.9,D37.8,D49.0
45,1,antecubital fossa or space,,,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
46,1,antrum,,(Highmore) (maxillary),C31.0,C78.39,D02.3,D14.0,D38.5,D49.1
47,2,pyloric,,,C16.3,C78.89,D00.2,D13.1,D37.1,D49.0
48,2,tympanicum,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
49,1,"anus, anal",,,C21.0,C78.5,D01.3,D12.9,D37.8,D49.0
50,2,canal,,,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
51,2,cloacogenic zone,,,C21.2,C78.5,D01.3,D12.9,D37.8,D49.0
52,2,margin,,,C44.500,C79.2,D04.5,D23.5,D48.5,D49.2
53,2,overlapping lesion with rectosigmoid junction or rectum,,,C21.8,-,-,-,-,-
54,2,skin,,,C44.500,C79.2,D04.5,D23.5,D48.5,D49.2
55,3,basal cell carcinoma,,,C44.510,-,-,-,-,-
56,3,specified type NEC,,,C44.590,-,-,-,-,-
57,3,squamous cell carcinoma,,,C44.520,-,-,-,-,-
58,2,sphincter,,,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
59,1,aorta,,(thoracic),C49.3,C79.89,-,D21.3,D48.1,D49.2
60,2,abdominal,,,C49.4,C79.89,-,D21.4,D48.1,D49.2
61,1,aortic body,,,C75.5,C79.89,-,D35.6,D44.7,D49.7
62,1,aponeurosis,,,C49.9,C79.89,-,D21.9,D48.1,D49.2
63,2,palmar,,,C49.1-,C79.89,-,D21.1-,D48.1,D49.2
64,2,plantar,,,C49.2-,C79.89,-,D21.2-,D48.1,D49.2
65,1,appendix,,,C18.1,C78.5,D01.0,D12.1,D37.3,D49.0
66,1,arachnoid,,,C70.9,C79.49,-,D32.9,D42.9,D49.7
67,2,cerebral,,,C70.0,C79.32,-,D32.0,D42.0,D49.7
68,2,spinal,,,C70.1,C79.49,-,D32.1,D42.1,D49.7
69,1,areola,,,C50.0-,C79.81,D05.-,D24.-,D48.6-,D49.3
70,1,arm NEC,,,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
71,1,artery,"Neoplasm, connective tissue",,,,,,,
72,1,aryepiglottic fold,,,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
73,2,hypopharyngeal aspect,,,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
74,2,laryngeal aspect,,,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
75,2,marginal zone,,,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
76,1,arytenoid,,(cartilage),C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
77,2,fold,"Neoplasm, aryepiglottic",,,,,,,
78,1,associated with transplanted organ,,,C80.2,-,-,-,-,-
79,1,atlas,,,C41.2,C79.51,-,D16.6,D48.0,D49.2
80,1,"atrium, cardiac",,,C38.0,C79.89,-,D15.1,D48.7,D49.89
81,1,auditory,,,,,,,,
82,2,canal,,(external) (skin),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
83,3,internal,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
84,2,nerve,,,C72.4-,C79.49,-,D33.3,D43.3,D49.7
85,2,tube,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
86,3,opening,,,C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
87,1,"auricle, ear",,,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
88,1,auricular canal,,(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
89,2,internal,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.2
90,1,autonomic nerve or nervous system NEC,,"(see Neoplasm, nerve, peripheral)",,,,,,
91,1,"axilla, axillary",,,C76.1,C79.89,D09.8,D36.7,D48.7,D49.89
92,2,fold,,,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
93,1,back NEC,,,C76.8,C79.89,D04.5,D36.7,D48.7,D49.89
94,1,Bartholin's gland,,,C51.0,C79.82,D07.1,D28.0,D39.8,D49.59
95,1,basal ganglia,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
96,1,basis pedunculi,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
97,1,bile or biliary,,(tract),C24.9,C78.89,D01.5,D13.5,D37.6,D49.0
98,2,canaliculi,,(biliferi) (intrahepatic),C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
99,2,"canals, interlobular",,,C22.1,C78.89,D01.5,D13.4,D37.6,D49.0
100,2,duct or passage,,(common) (cystic) (extrahepatic),C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
101,3,interlobular,,,C22.1,C78.89,D01.5,D13.4,D37.6,D49.0
102,3,intrahepatic,,,C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
103,4,and extrahepatic,,,C24.8,C78.89,D01.5,D13.5,D37.6,D49.0
104,1,bladder,,(urinary),C67.9,C79.11,D09.0,D30.3,D41.4,D49.4
105,2,dome,,,C67.1,C79.11,D09.0,D30.3,D41.4,D49.4
106,2,neck,,,C67.5,C79.11,D09.0,D30.3,D41.4,D49.4
107,2,orifice,,,C67.9,C79.11,D09.0,D30.3,D41.4,D49.4
108,3,ureteric,,,C67.6,C79.11,D09.0,D30.3,D41.4,D49.4
109,3,urethral,,,C67.5,C79.11,D09.0,D30.3,D41.4,D49.4
110,2,overlapping lesion,,,C67.8,-,-,-,-,-
111,2,sphincter,,,C67.8,C79.11,D09.0,D30.3,D41.4,D49.4
112,2,trigone,,,C67.0,C79.11,D09.0,D30.3,D41.4,D49.4
113,2,urachus,,,C67.7,C79.11,D09.0,D30.3,D41.4,D49.4
114,2,wall,,,C67.9,C79.11,D09.0,D30.3,D41.4,D49.4
115,3,anterior,,,C67.3,C79.11,D09.0,D30.3,D41.4,D49.4
116,3,lateral,,,C67.2,C79.11,D09.0,D30.3,D41.4,D49.4
117,3,posterior,,,C67.4,C79.11,D09.0,D30.3,D41.4,D49.4
118,1,blood vessel,"Neoplasm, connective tissue",,,,,,,
119,1,bone,,(periosteum),C41.9,C79.51,-,D16.9-,D48.0,D49.2
120,2,acetabulum,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
121,2,ankle,,,C40.3-,C79.51,-,D16.3-,-,-
122,2,arm NEC,,,C40.0-,C79.51,-,D16.0-,-,-
123,2,astragalus,,,C40.3-,C79.51,-,D16.3-,-,-
124,2,atlas,,,C41.2,C79.51,-,D16.6-,D48.0,D49.2
125,2,axis,,,C41.2,C79.51,-,D16.6-,D48.0,D49.2
126,2,back NEC,,,C41.2,C79.51,-,D16.6-,D48.0,D49.2
127,2,calcaneus,,,C40.3-,C79.51,-,D16.3-,-,-
128,2,calvarium,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
129,2,carpus,,(any),C40.1-,C79.51,-,D16.1-,-,-
130,2,cartilage NEC,,,C41.9,C79.51,-,D16.9-,D48.0,D49.2
131,2,clavicle,,,C41.3,C79.51,-,D16.7-,D48.0,D49.2
132,2,clivus,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
133,2,coccygeal vertebra,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
134,2,coccyx,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
135,2,costal cartilage,,,C41.3,C79.51,-,D16.7-,D48.0,D49.2
136,2,costovertebral joint,,,C41.3,C79.51,-,D16.7-,D48.0,D49.2
137,2,cranial,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
138,2,cuboid,,,C40.3-,C79.51,-,D16.3-,-,-
139,2,cuneiform,,,C41.9,C79.51,-,D16.9-,D48.0,D49.2
140,2,elbow,,,C40.0-,C79.51,-,D16.0-,-,-
141,2,ethmoid,,(labyrinth),C41.0,C79.51,-,D16.4-,D48.0,D49.2
142,2,face,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
143,2,femur,,(any part),C40.2-,C79.51,-,D16.2-,-,-
144,2,fibula,,(any part),C40.2-,C79.51,-,D16.2-,-,-
145,2,finger,,(any),C40.1-,C79.51,-,D16.1-,-,-
146,2,foot,,,C40.3-,C79.51,-,D16.3-,-,-
147,2,forearm,,,C40.0-,C79.51,-,D16.0-,-,-
148,2,frontal,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
149,2,hand,,,C40.1-,C79.51,-,D16.1-,-,-
150,2,heel,,,C40.3-,C79.51,-,D16.3-,-,-
151,2,hip,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
152,2,humerus,,(any part),C40.0-,C79.51,-,D16.0-,-,-
153,2,hyoid,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
154,2,ilium,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
155,2,innominate,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
156,2,intervertebral cartilage or disc,,,C41.2,C79.51,-,D16.6-,D48.0,D49.2
157,2,ischium,,,C41.4,C79.51,-,D16.8-,D48.0,D49.2
158,2,jaw,,(lower),C41.1,C79.51,-,D16.5-,D48.0,D49.2
159,2,knee,,,C40.2-,C79.51,-,D16.2-,-,-
160,2,leg NEC,,,C40.2-,C79.51,-,D16.2-,-,-
161,2,limb NEC,,,C40.9-,C79.51,-,D16.9-,-,-
162,3,lower,,(long bones),C40.2-,C79.51,-,D16.2-,-,-
163,4,short bones,,,C40.3-,C79.51,-,D16.3-,-,-
164,3,upper,,(long bones),C40.0-,C79.51,-,D16.0-,-,-
165,4,short bones,,,C40.1-,C79.51,-,D16.1-,-,-
166,2,malar,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
167,2,mandible,,,C41.1,C79.51,-,D16.5-,D48.0,D49.2
168,2,marrow NEC,,(any bone),C96.9,C79.52,-,-,D47.9,D49.89
169,2,mastoid,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
170,2,"maxilla, maxillary",,(superior),C41.0,C79.51,-,D16.4-,D48.0,D49.2
171,3,inferior,,,C41.1,C79.51,-,D16.5-,D48.0,D49.2
172,2,metacarpus,,(any),C40.1-,C79.51,-,D16.1-,-,-
173,2,metatarsus,,(any),C40.3-,C79.51,-,D16.3-,-,-
174,2,overlapping sites,,,C40.8-,-,-,-,-,-
175,2,navicular,,,,,,,,
176,3,ankle,,,C40.3-,C79.51,-,-,-,-
177,3,hand,,,C40.1-,C79.51,-,-,-,-
178,2,"nose, nasal",,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
179,2,occipital,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
180,2,orbit,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
181,2,parietal,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
182,2,patella,,,C40.2-,C79.51,-,-,-,-
183,2,pelvic,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
184,2,phalanges,,,,,,,,
185,3,foot,,,C40.3-,C79.51,-,-,-,-
186,3,hand,,,C40.1-,C79.51,-,-,-,-
187,2,pubic,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
188,2,radius,,(any part),C40.0-,C79.51,-,D16.0-,-,-
189,2,rib,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
190,2,sacral vertebra,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
191,2,sacrum,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
192,2,scaphoid,,,-,-,-,-,-,-
193,3,of ankle,,,C40.3-,C79.51,-,-,-,-
194,3,of hand,,,C40.1-,C79.51,-,-,-,-
195,2,scapula,,(any part),C40.0-,C79.51,-,D16.0-,-,-
196,2,sella turcica,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
197,2,shoulder,,,C40.0-,C79.51,-,D16.0-,-,-
198,2,skull,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
199,2,sphenoid,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
200,2,"spine, spinal",,(column),C41.2,C79.51,-,D16.6,D48.0,D49.2
201,3,coccyx,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
202,3,sacrum,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
203,2,sternum,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
204,2,tarsus,,(any),C40.3-,C79.51,-,-,-,-
205,2,temporal,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
206,2,thumb,,,C40.1-,C79.51,-,-,-,-
207,2,tibia,,(any part),C40.2-,C79.51,-,-,-,-
208,2,toe,,(any),C40.3-,C79.51,-,-,-,-
209,2,trapezium,,,C40.1-,C79.51,-,-,-,-
210,2,trapezoid,,,C40.1-,C79.51,-,-,-,-
211,2,turbinate,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
212,2,ulna,,(any part),C40.0-,C79.51,-,D16.0-,-,-
213,2,unciform,,,C40.1-,C79.51,-,-,-,-
214,2,vertebra,,(column),C41.2,C79.51,-,D16.6,D48.0,D49.2
215,3,coccyx,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
216,3,sacrum,,,C41.4,C79.51,-,D16.8,D48.0,D49.2
217,2,vomer,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
218,2,wrist,,,C40.1-,C79.51,-,-,-,-
219,2,xiphoid process,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
220,2,zygomatic,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
221,1,book-leaf,,(mouth),C06.89,C79.89,D00.00,D10.39,D37.09,D49.0
222,1,bowel,"Neoplasm, intestine",,,,,,,
223,1,brachial plexus,,,C47.1-,C79.89,-,D36.12,D48.2,D49.2
224,1,brain NEC,,,C71.9,C79.31,-,D33.2,D43.2,D49.6
225,2,basal ganglia,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
226,2,cerebellopontine angle,,,C71.6,C79.31,-,D33.1,D43.1,D49.6
227,2,cerebellum NOS,,,C71.6,C79.31,-,D33.1,D43.1,D49.6
228,2,cerebrum,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
229,2,choroid plexus,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
230,2,corpus callosum,,,C71.8,C79.31,-,D33.2,D43.2,D49.6
231,2,corpus striatum,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
232,2,cortex,,(cerebral),C71.0,C79.31,-,D33.0,D43.0,D49.6
233,2,frontal lobe,,,C71.1,C79.31,-,D33.0,D43.0,D49.6
234,2,globus pallidus,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
235,2,hippocampus,,,C71.2,C79.31,-,D33.0,D43.0,D49.6
236,2,hypothalamus,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
237,2,internal capsule,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
238,2,medulla oblongata,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
239,2,meninges,,,C70.0,C79.32,-,D32.0,D42.0,D49.7
240,2,midbrain,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
241,2,occipital lobe,,,C71.4,C79.31,-,D33.0,D43.0,D49.6
242,2,overlapping lesion,,,C71.8,C79.31,-,-,-,-
243,2,parietal lobe,,,C71.3,C79.31,-,D33.0,D43.0,D49.6
244,2,peduncle,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
245,2,pons,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
246,2,stem,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
247,2,tapetum,,,C71.8,C79.31,-,D33.2,D43.2,D49.6
248,2,temporal lobe,,,C71.2,C79.31,-,D33.0,D43.0,D49.6
249,2,thalamus,,,C71.0,C79.31,-,D33.0,D43.0,D49.6
250,2,uncus,,,C71.2,C79.31,-,D33.0,D43.0,D49.6
251,2,ventricle,,(floor),C71.5,C79.31,-,D33.0,D43.0,D49.6
252,3,fourth,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
253,1,branchial,,(cleft) (cyst) (vestiges),C10.4,C79.89,D00.08,D10.5,D37.05,D49.0
254,1,breast,,(connective tissue) (glandular tissue) (soft parts),C50.9-,C79.81,D05.-,D24.-,D48.6-,D49.3
255,2,areola,,,C50.0-,C79.81,D05.-,D24.-,D48.6-,D49.3
256,2,axillary tail,,,C50.6-,C79.81,D05.-,D24.-,D48.6-,D49.3
257,2,central portion,,,C50.1-,C79.81,D05.-,D24.-,D48.6-,D49.3
258,2,inner,,,C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
259,2,lower,,,C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
260,2,lower-inner quadrant,,,C50.3-,C79.81,D05.-,D24.-,D48.6-,D49.3
261,2,lower-outer quadrant,,,C50.5-,C79.81,D05.-,D24.-,D48.6-,D49.3
262,2,mastectomy site,,(skin),C44.501,C79.2,-,-,-,-
263,3,specified as breast tissue,,,C50.8-,C79.81,-,-,-,-
264,2,midline,,,C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
265,2,nipple,,,C50.0-,C79.81,D05.-,D24.-,D48.6-,D49.3
266,2,outer,,,C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
267,2,overlapping lesion,,,C50.8-,-,-,-,-,-
268,2,skin,,,C44.501,C79.2,D04.5,D23.5,D48.5,D49.2
269,3,basal cell carcinoma,,,C44.511,-,-,-,-,-
270,3,specified type NEC,,,C44.591,-,-,-,-,-
271,3,squamous cell carcinoma,,,C44.521,-,-,-,-,-
272,2,tail,,(axillary),C50.6-,C79.81,D05.-,D24.-,D48.6-,D49.3
273,2,upper,,,C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
274,2,upper-inner quadrant,,,C50.2-,C79.81,D05.-,D24.-,D48.6-,D49.3
275,2,upper-outer quadrant,,,C50.4-,C79.81,D05.-,D24.-,D48.6-,D49.3
276,1,broad ligament,,,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
277,1,"bronchiogenic, bronchogenic",,(lung),C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
278,1,bronchiole,,,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
279,1,bronchus,,,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
280,2,carina,,,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
281,2,lower lobe of lung,,,C34.3-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
282,2,main,,,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
283,2,middle lobe of lung,,,C34.2,C78.0-,D02.21,D14.31,D38.1,D49.1
284,2,overlapping lesion,,,C34.8-,-,-,-,-,-
285,2,upper lobe of lung,,,C34.1-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
286,1,brow,,,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
287,2,basal cell carcinoma,,,C44.319,-,-,-,-,-
288,2,specified type NEC,,,C44.399,-,-,-,-,-
289,2,squamous cell carcinoma,,,C44.329,-,-,-,-,-
290,1,buccal,,(cavity),C06.9,C79.89,D00.00,D10.39,D37.09,D49.0
291,2,commissure,,,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
292,2,groove,,(lower) (upper),C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
293,2,mucosa,,,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
294,2,sulcus,,(lower) (upper),C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
295,1,bulbourethral gland,,,C68.0,C79.19,D09.19,D30.4,D41.3,D49.59
296,1,bursa,"Neoplasm, connective tissue",,,,,,,
297,1,buttock NEC,,,C76.3,C79.89,D04.5,D36.7,D48.7,D49.89
298,1,calf,,,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
299,1,calvarium,,,C41.0,C79.51,-,D16.4-,D48.0,D49.2
300,1,"calyx, renal",,,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
301,1,canal,,,,,,,,
302,2,anal,,,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
303,2,auditory,,(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
304,2,auricular,,(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
305,1,"canaliculi, biliary",,(biliferi) (intrahepatic),C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
306,1,canthus,,(eye) (inner) (outer),C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
307,2,basal cell carcinoma,,,C44.11-,-,-,-,-,-
308,2,sebaceous cell,,,C44.13-,-,-,-,-,-
309,2,specified type NEC,,,C44.19-,-,-,-,-,-
310,2,squamous cell carcinoma,,,C44.12-,-,-,-,-,-
311,1,capillary,"Neoplasm, connective tissue",,,,,,,
312,1,caput coli,,,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
313,1,carcinoid,"Tumor, carcinoid",,,,,,,
314,1,cardia,,(gastric),C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
315,1,cardiac orifice,,(stomach),C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
316,1,cardio-esophageal junction,,,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
317,1,cardio-esophagus,,,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
318,1,carina,,(bronchus),C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
319,1,carotid,,(artery),C49.0,C79.89,-,D21.0,D48.1,D49.2
320,2,body,,,C75.4,C79.89,-,D35.5,D44.6,D49.7
321,1,carpus,,(any bone),C40.1-,C79.51,-,D16.1-,-,-
322,1,cartilage,,(articular) (joint),C41.9,C79.51,-,D16.9-,D48.0,D49.2
323,2,arytenoid,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
324,2,auricular,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
325,2,bronchi,,,C34.0-,C78.39,-,D14.3-,D38.1,D49.1
326,2,costal,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
327,2,cricoid,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
328,2,cuneiform,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
329,2,ear,,(external),C49.0,C79.89,-,D21.0,D48.1,D49.2
330,2,ensiform,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
331,2,epiglottis,,,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
332,3,anterior surface,,,C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
333,2,eyelid,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
334,2,intervertebral,,,C41.2,C79.51,-,D16.6,D48.0,D49.2
335,2,"larynx, laryngeal",,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
336,2,"nose, nasal",,,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
337,2,pinna,,,C49.0,C79.89,-,D21.0,D48.1,D49.2
338,2,rib,,,C41.3,C79.51,-,D16.7,D48.0,D49.2
339,2,semilunar,,(knee),C40.2-,C79.51,-,D16.2-,D48.0,D49.2
340,2,thyroid,,,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
341,2,trachea,,,C33,C78.39,D02.1,D14.2,D38.1,D49.1
342,1,cauda equina,,,C72.1,C79.49,-,D33.4,D43.4,D49.7
343,1,cavity,,,,,,,,
344,2,buccal,,,C06.9,C79.89,D00.00,D10.30,D37.09,D49.0
345,2,nasal,,,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
346,2,oral,,,C06.9,C79.89,D00.00,D10.30,D37.09,D49.0
347,2,peritoneal,,,C48.2,C78.6,-,D20.1,D48.4,D49.0
348,2,tympanic,,,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
349,1,cecum,,,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
350,1,central nervous system,,,C72.9,C79.40,-,-,-,-
351,1,cerebellopontine,,(angle),C71.6,C79.31,-,D33.1,D43.1,D49.6
352,1,"cerebellum, cerebellar",,,C71.6,C79.31,-,D33.1,D43.1,D49.6
353,1,"cerebrum, cerebra",,(cortex) (hemisphere) (white matter),C71.0,C79.31,-,D33.0,D43.0,D49.6
354,2,meninges,,,C70.0,C79.32,-,D32.0,D42.0,D49.7
355,2,peduncle,,,C71.7,C79.31,-,D33.1,D43.1,D49.6
