RowID,Letter,Level,Term,SeeAlso,NonEssModif,PoisoningAccidental,PoisoningIntentionalSelfHarm,PoisoningAssault,PoisoningUndetermined,AdverseEffect,Underdosing
39,A,2,irrigating solution,,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
40,A,2,medicinal,,(lotion),T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
41,A,1,anhydride,,,T65.891,T65.892,T65.893,T65.894,--,--
42,A,1,ether,,(vapor),T52.8X1,T52.8X2,T52.8X3,T52.8X4,--,--
43,A,0,Acetohexamide,,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
44,A,0,Acetohydroxamic acid,,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
45,A,0,Acetomenaphthone,,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
46,A,0,Acetomorphine,,,T40.1X1,T40.1X2,T40.1X3,T40.1X4,--,--
47,A,0,Acetone,,(oils),T52.4X1,T52.4X2,T52.4X3,T52.4X4,--,--
48,A,1,chlorinated,,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,--,--
49,A,1,vapor,,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,--,--
50,A,0,Acetonitrile,,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,--,--
51,A,0,Acetophenazine,,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
52,A,0,Acetophenetedin,,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
53,A,0,Acetophenone,,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,--,--
54,A,0,Acetorphine,,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,--,--
55,A,0,Acetosulfone,,(sodium),T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
56,A,0,Acetrizoate,,(sodium),T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
57,A,0,Acetrizoic acid,,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
58,A,0,Acetyl,,,,,,,,
59,A,1,bromide,,,T53.6X1,T53.6X2,T53.6X3,T53.6X4,--,--
60,A,1,chloride,,,T53.6X1,T53.6X2,T53.6X3,T53.6X4,--,--
61,A,0,Acetylcarbromal,,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
62,A,0,Acetylcholine,,,,,,,,
63,A,1,chloride,,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
64,A,1,derivative,,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
65,A,0,Acetylcysteine,,,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
66,A,0,Acetyldigitoxin,,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
67,A,0,Acetyldigoxin,,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
68,A,0,Acetyldihydrocodeine,,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,--,--
69,A,0,Acetyldihydrocodeinone,,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,--,--
70,A,0,Acetylene,,(gas),T59.891,T59.892,T59.893,T59.894,--,--
71,A,1,dichloride,,,T53.6X1,T53.6X2,T53.6X3,T53.6X4,--,--
72,A,1,incomplete combustion of,,,T58.11,T58.12,T58.13,T58.14,--,--
73,A,1,industrial,,,T59.891,T59.892,T59.893,T59.894,--,--
74,A,1,tetrachloride,,,T53.6X1,T53.6X2,T53.6X3,T53.6X4,--,--
75,A,2,vapor,,,T53.6X1,T53.6X2,T53.6X3,T53.6X4,--,--
76,A,0,Acetylpheneturide,,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
77,A,0,Acetylphenylhydrazine,,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
78,A,0,Acetylsalicylic acid,,(salts),T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
79,A,1,enteric coated,,,T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
80,A,0,Acetylsulfamethoxypyridazine,,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
81,A,0,Achromycin,,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
82,A,1,ophthalmic preparation,,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
83,A,1,topical NEC,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
84,A,0,Aciclovir,,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
85,A,0,Acid,,(corrosive),T54.2X1,T54.2X2,T54.2X3,T54.2X4,--,--
86,A,0,Acidifying agent NEC,,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
87,A,0,Acipimox,,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
88,A,0,Acitretin,,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
89,A,0,Aclarubicin,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
90,A,0,Aclatonium napadisilate,,,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
91,A,0,Aconite,,(wild),T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
92,A,0,Aconitine,,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
93,A,0,Aconitum ferox,,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
94,A,0,Acridine,,,T65.6X1,T65.6X2,T65.6X3,T65.6X4,--,--
95,A,1,vapor,,,T59.891,T59.892,T59.893,T59.894,--,--
96,A,0,Acriflavine,,,T37.91,T37.92,T37.93,T37.94,T37.95,T37.96
97,A,0,Acriflavinium chloride,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
98,A,0,Acrinol,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
99,A,0,Acrisorcin,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
100,A,0,Acrivastine,,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
101,A,0,Acrolein,,(gas),T59.891,T59.892,T59.893,T59.894,--,--
102,A,1,liquid,,,T54.1X1,T54.1X2,T54.1X3,T54.1X4,--,--
103,A,0,Acrylamide,,,T65.891,T65.892,T65.893,T65.894,--,--
104,A,0,Acrylic resin,,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
105,A,0,Acrylonitrile,,,T65.891,T65.892,T65.893,T65.894,--,--
106,A,0,Actaea spicata,,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,--,--
107,A,1,berry,,,T62.1X1,T62.1X2,T62.1X3,T62.1X4,--,--
108,A,0,Acterol,,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
109,A,0,ACTH,,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
110,A,0,Actinomycin C,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
111,A,0,Actinomycin D,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
112,A,0,Activated charcoal,"Charcoal, medicinal",,T47.6X1,T47.6X2,T47.6X3,T47.6X4,T47.6X5,T47.6X6
113,A,0,Acyclovir,,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
114,A,0,Adenine,,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
115,A,1,arabinoside,,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
116,A,0,Adenosine,,(phosphate),T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
117,A,0,ADH,,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
118,A,0,Adhesive NEC,,,T65.891,T65.892,T65.893,T65.894,--,--
119,A,0,Adicillin,,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
120,A,0,Adiphenine,,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
121,A,0,Adipiodone,,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
122,A,0,"Adjunct, pharmaceutical",,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
123,A,0,Adrenal,,"(extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids)",T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
124,A,1,ENT agent,,,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
125,A,1,ophthalmic preparation,,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
126,A,1,topical NEC,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
127,A,0,Adrenaline,,,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
128,A,0,Adrenalin,,,,,,,,
129,A,0,Adrenergic NEC,,,T44.901,T44.902,T44.903,T44.904,T44.905,T44.906
130,A,1,blocking agent NEC,,,T44.8X1,T44.8X2,T44.8X3,T44.8X4,T44.8X5,T44.8X6
131,A,2,"beta, heart",,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
132,A,1,specified NEC,,,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
133,A,0,Adrenochrome,,,,,,,,
134,A,1,,,(mono),T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
135,A,1,derivative,,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
136,A,0,Adrenocorticotrophic hormone,,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
137,A,0,Adrenocorticotrophin,,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
138,A,0,Adriamycin,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
139,A,0,Aerosol spray NEC,,,T65.91,T65.92,T65.93,T65.94,--,--
140,A,0,Aerosporin,,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
141,A,1,ENT agent,,,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
142,A,1,ophthalmic preparation,,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
143,A,1,topical NEC,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
144,A,0,Aethusa cynapium,,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,--,--
145,A,0,Afghanistan black,,,T40.711,T40.712,T40.713,T40.714,T40.715,T40.716
146,A,0,Aflatoxin,,,T64.01,T64.02,T64.03,T64.04,--,--
147,A,0,Afloqualone,,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
148,A,0,African boxwood,,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,--,--
149,A,0,Agar,,,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
150,A,0,Agonist,,,,,,,,
151,A,1,predominantly,,,,,,,,
152,A,2,alpha-adrenoreceptor,,,T44.4X1,T44.4X2,T44.4X3,T44.4X4,T44.4X5,T44.4X6
153,A,2,beta-adrenoreceptor,,,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
154,A,0,Agricultural agent NEC,,,T65.91,T65.92,T65.93,T65.94,--,--
155,A,0,Agrypnal,,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
156,A,0,AHLG,,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
157,A,0,Air contaminant,,(s),T65.91,T65.92,T65.93,T65.94,--,--
158,A,0,Ajmaline,,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
159,A,0,Akee,,,T62.1X1,T62.1X2,T62.1X3,T62.1X4,--,--
160,A,0,Akrinol,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
161,A,0,Akritoin,,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
162,A,0,Alacepril,,,T46.4X1,T46.4X2,T46.4X3,T46.4X4,T46.4X5,T46.4X6
163,A,0,Alantolactone,,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
164,A,0,Albamycin,,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
165,A,0,Albendazole,,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
166,A,0,Albumin,,,,,,,,
167,A,1,bovine,,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
168,A,1,human serum,,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
169,A,2,salt-poor,,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
170,A,1,normal human serum,,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
171,A,0,Albuterol,,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
172,A,0,Albutoin,,,T42.0X1,T42.0X2,T42.0X3,T42.0X4,T42.0X5,T42.0X6
173,A,0,Alclometasone,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
174,A,0,Alcohol,,,T51.91,T51.92,T51.93,T51.94,--,--
175,A,1,absolute,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
176,A,2,beverage,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
177,A,1,allyl,,,T51.8X1,T51.8X2,T51.8X3,T51.8X4,--,--
178,A,1,amyl,,,T51.3X1,T51.3X2,T51.3X3,T51.3X4,--,--
179,A,1,antifreeze,,,T51.1X1,T51.1X2,T51.1X3,T51.1X4,--,--
180,A,1,beverage,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
181,A,1,butyl,,,T51.3X1,T51.3X2,T51.3X3,T51.3X4,--,--
182,A,1,dehydrated,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
183,A,2,beverage,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
184,A,1,denatured,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
185,A,1,deterrent NEC,,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
186,A,1,diagnostic,,(gastric function),T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
187,A,1,ethyl,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
188,A,2,beverage,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
189,A,1,grain,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
190,A,2,beverage,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
191,A,1,industrial,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
192,A,1,isopropyl,,,T51.2X1,T51.2X2,T51.2X3,T51.2X4,--,--
193,A,1,methyl,,,T51.1X1,T51.1X2,T51.1X3,T51.1X4,--,--
194,A,1,preparation for consumption,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
195,A,1,propyl,,,T51.3X1,T51.3X2,T51.3X3,T51.3X4,--,--
196,A,2,secondary,,,T51.2X1,T51.2X2,T51.2X3,T51.2X4,--,--
197,A,1,radiator,,,T51.1X1,T51.1X2,T51.1X3,T51.1X4,--,--
198,A,1,rubbing,,,T51.2X1,T51.2X2,T51.2X3,T51.2X4,--,--
199,A,1,specified type NEC,,,T51.8X1,T51.8X2,T51.8X3,T51.8X4,--,--
200,A,1,surgical,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
201,A,1,vapor,,(from any type of Alcohol),T59.891,T59.892,T59.893,T59.894,--,--
202,A,1,wood,,,T51.1X1,T51.1X2,T51.1X3,T51.1X4,--,--
203,A,0,Alcuronium,,(chloride),T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
204,A,0,Aldactone,,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
205,A,0,Aldesulfone sodium,,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
206,A,0,Aldicarb,,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,--,--
207,A,0,Aldomet,,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
208,A,0,Aldosterone,,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
209,A,0,Aldrin,,(dust),T60.1X1,T60.1X2,T60.1X3,T60.1X4,--,--
210,A,0,Aleve,,,,,,,,
211,A,0,Alexitol sodium,,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
212,A,0,Alfacalcidol,,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
213,A,0,Alfadolone,,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
214,A,0,Alfaxalone,,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
215,A,0,Alfentanil,,,T40.411,T40.412,T40.413,T40.414,T40.415,T40.416
216,A,0,Alfuzosin,,(hydrochloride),T44.8X1,T44.8X2,T44.8X3,T44.8X4,T44.8X5,T44.8X6
217,A,0,Algae,,(harmful) (toxin),T65.821,T65.822,T65.823,T65.824,--,--
218,A,0,Algeldrate,,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
219,A,0,Algin,,,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
220,A,0,Alglucerase,,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
221,A,0,Alidase,,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
222,A,0,Alimemazine,,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
223,A,0,Aliphatic thiocyanates,,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,--,--
224,A,0,Alizapride,,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
225,A,0,Alkali,,(caustic),T54.3X1,T54.3X2,T54.3X3,T54.3X4,--,--
226,A,0,Alkaline antiseptic solution,,(aromatic),T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
227,A,0,Alkalinizing agents,,(medicinal),T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
228,A,0,Alkalizing agent NEC,,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
229,A,0,Alka-seltzer,,,T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
230,A,0,Alkavervir,,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
231,A,0,Alkonium,,(bromide),T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
232,A,0,Alkylating drug NEC,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
233,A,1,antimyeloproliferative,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
234,A,1,lymphatic,,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
235,A,0,Alkylisocyanate,,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,--,--
236,A,0,Allantoin,,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
237,A,0,Allegron,,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
238,A,0,Allethrin,,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
239,A,0,Allobarbital,,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
240,A,0,Allopurinol,,,T50.4X1,T50.4X2,T50.4X3,T50.4X4,T50.4X5,T50.4X6
241,A,0,Allyl,,,,,,,,
242,A,1,Alcohol,,,T51.8X1,T51.8X2,T51.8X3,T51.8X4,--,--
243,A,1,disulfide,,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
244,A,0,Allylestrenol,,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
245,A,0,Allylisopropylacetylurea,,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
246,A,0,Allylisopropylmalonylurea,,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
247,A,0,Allylthiourea,,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
248,A,0,Allyltribromide,,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
249,A,0,Allypropymal,,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
250,A,0,Almagate,,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
251,A,0,Almasilate,,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
252,A,0,Almitrine,,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
253,A,0,Aloes,,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
254,A,0,Aloglutamol,,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
255,A,0,Aloin,,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
256,A,0,Aloxidone,,,T42.2X1,T42.2X2,T42.2X3,T42.2X4,T42.2X5,T42.2X6
257,A,0,Alpha,,,,,,,,
258,A,1,acetyldigoxin,,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
259,A,1,adrenergic blocking drug,,,T44.6X1,T44.6X2,T44.6X3,T44.6X4,T44.6X5,T44.6X6
260,A,1,amylase,,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
261,A,1,tocoferol,,(acetate),T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
262,A,1,tocopherol,,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
263,A,0,Alphadolone,,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
264,A,0,Alphaprodine,,,T40.491,T40.492,T40.493,T40.494,T40.495,T40.496
265,A,0,Alphaxalone,,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
266,A,0,Alprazolam,,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
267,A,0,Alprenolol,,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
268,A,0,Alprostadil,,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
