Code,Description,ChapterID,SectionID
A04.71,"Enterocolitis due to Clostridium difficile, recurrent",1,A00-A09
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",1,A00-A09
A04.8,Other specified bacterial intestinal infections,1,A00-A09
A04.9,"Bacterial intestinal infection, unspecified",1,A00-A09
A05,"Other bacterial foodborne intoxications, not elsewhere classified",1,A00-A09
A05.0,Foodborne staphylococcal intoxication,1,A00-A09
A05.1,Botulism food poisoning,1,A00-A09
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,1,A00-A09
A05.3,Foodborne Vibrio parahaemolyticus intoxication,1,A00-A09
A05.4,Foodborne Bacillus cereus intoxication,1,A00-A09
A05.5,Foodborne Vibrio vulnificus intoxication,1,A00-A09
A05.8,Other specified bacterial foodborne intoxications,1,A00-A09
A05.9,"Bacterial foodborne intoxication, unspecified",1,A00-A09
A06,Amebiasis,1,A00-A09
A06.0,Acute amebic dysentery,1,A00-A09
A06.1,Chronic intestinal amebiasis,1,A00-A09
A06.2,Amebic nondysenteric colitis,1,A00-A09
A06.3,Ameboma of intestine,1,A00-A09
A06.4,Amebic liver abscess,1,A00-A09
A06.5,Amebic lung abscess,1,A00-A09
A06.6,Amebic brain abscess,1,A00-A09
A06.7,Cutaneous amebiasis,1,A00-A09
A06.8,Amebic infection of other sites,1,A00-A09
A06.81,Amebic cystitis,1,A00-A09
A06.82,Other amebic genitourinary infections,1,A00-A09
A06.89,Other amebic infections,1,A00-A09
A06.9,"Amebiasis, unspecified",1,A00-A09
A07,Other protozoal intestinal diseases,1,A00-A09
A07.0,Balantidiasis,1,A00-A09
A07.1,Giardiasis [lambliasis],1,A00-A09
A07.2,Cryptosporidiosis,1,A00-A09
A07.3,Isosporiasis,1,A00-A09
A07.4,Cyclosporiasis,1,A00-A09
A07.8,Other specified protozoal intestinal diseases,1,A00-A09
A07.9,"Protozoal intestinal disease, unspecified",1,A00-A09
A08,Viral and other specified intestinal infections,1,A00-A09
A08.0,Rotaviral enteritis,1,A00-A09
A08.1,Acute gastroenteropathy due to Norwalk agent and other small round viruses,1,A00-A09
A08.11,Acute gastroenteropathy due to Norwalk agent,1,A00-A09
A08.19,Acute gastroenteropathy due to other small round viruses,1,A00-A09
A08.2,Adenoviral enteritis,1,A00-A09
A08.3,Other viral enteritis,1,A00-A09
A08.31,Calicivirus enteritis,1,A00-A09
A08.32,Astrovirus enteritis,1,A00-A09
A08.39,Other viral enteritis,1,A00-A09
A08.4,"Viral intestinal infection, unspecified",1,A00-A09
A08.8,Other specified intestinal infections,1,A00-A09
A09,"Infectious gastroenteritis and colitis, unspecified",1,A00-A09
A15,Respiratory tuberculosis,1,A15-A19
A15.0,Tuberculosis of lung,1,A15-A19
A15.4,Tuberculosis of intrathoracic lymph nodes,1,A15-A19
A15.5,"Tuberculosis of larynx, trachea and bronchus",1,A15-A19
A15.6,Tuberculous pleurisy,1,A15-A19
A15.7,Primary respiratory tuberculosis,1,A15-A19
A15.8,Other respiratory tuberculosis,1,A15-A19
A15.9,Respiratory tuberculosis unspecified,1,A15-A19
A17,Tuberculosis of nervous system,1,A15-A19
A17.0,Tuberculous meningitis,1,A15-A19
A17.1,Meningeal tuberculoma,1,A15-A19
A17.8,Other tuberculosis of nervous system,1,A15-A19
A17.81,Tuberculoma of brain and spinal cord,1,A15-A19
A17.82,Tuberculous meningoencephalitis,1,A15-A19
A17.83,Tuberculous neuritis,1,A15-A19
A17.89,Other tuberculosis of nervous system,1,A15-A19
A17.9,"Tuberculosis of nervous system, unspecified",1,A15-A19
A18,Tuberculosis of other organs,1,A15-A19
A18.0,Tuberculosis of bones and joints,1,A15-A19
A18.01,Tuberculosis of spine,1,A15-A19
A18.02,Tuberculous arthritis of other joints,1,A15-A19
A18.03,Tuberculosis of other bones,1,A15-A19
A18.09,Other musculoskeletal tuberculosis,1,A15-A19
A18.1,Tuberculosis of genitourinary system,1,A15-A19
A18.10,"Tuberculosis of genitourinary system, unspecified",1,A15-A19
A18.11,Tuberculosis of kidney and ureter,1,A15-A19
A18.12,Tuberculosis of bladder,1,A15-A19
A18.13,Tuberculosis of other urinary organs,1,A15-A19
A18.14,Tuberculosis of prostate,1,A15-A19
A18.15,Tuberculosis of other male genital organs,1,A15-A19
A18.16,Tuberculosis of cervix,1,A15-A19
A18.17,Tuberculous female pelvic inflammatory disease,1,A15-A19
A18.18,Tuberculosis of other female genital organs,1,A15-A19
A18.2,Tuberculous peripheral lymphadenopathy,1,A15-A19
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",1,A15-A19
A18.31,Tuberculous peritonitis,1,A15-A19
A18.32,Tuberculous enteritis,1,A15-A19
A18.39,Retroperitoneal tuberculosis,1,A15-A19
A18.4,Tuberculosis of skin and subcutaneous tissue,1,A15-A19
A18.5,Tuberculosis of eye,1,A15-A19
A18.50,"Tuberculosis of eye, unspecified",1,A15-A19
A18.51,Tuberculous episcleritis,1,A15-A19
A18.52,Tuberculous keratitis,1,A15-A19
A18.53,Tuberculous chorioretinitis,1,A15-A19
A18.54,Tuberculous iridocyclitis,1,A15-A19
A18.59,Other tuberculosis of eye,1,A15-A19
A18.6,Tuberculosis of (inner) (middle) ear,1,A15-A19
A18.7,Tuberculosis of adrenal glands,1,A15-A19
A18.8,Tuberculosis of other specified organs,1,A15-A19
A18.81,Tuberculosis of thyroid gland,1,A15-A19
A18.82,Tuberculosis of other endocrine glands,1,A15-A19
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified",1,A15-A19
A18.84,Tuberculosis of heart,1,A15-A19
A18.85,Tuberculosis of spleen,1,A15-A19
A18.89,Tuberculosis of other sites,1,A15-A19
A19,Miliary tuberculosis,1,A15-A19
A19.0,Acute miliary tuberculosis of a single specified site,1,A15-A19
A19.1,Acute miliary tuberculosis of multiple sites,1,A15-A19
A19.2,"Acute miliary tuberculosis, unspecified",1,A15-A19
A19.8,Other miliary tuberculosis,1,A15-A19
A19.9,"Miliary tuberculosis, unspecified",1,A15-A19
A20,Plague,1,A20-A28
A20.0,Bubonic plague,1,A20-A28
A20.1,Cellulocutaneous plague,1,A20-A28
A20.2,Pneumonic plague,1,A20-A28
A20.3,Plague meningitis,1,A20-A28
A20.7,Septicemic plague,1,A20-A28
A20.8,Other forms of plague,1,A20-A28
A20.9,"Plague, unspecified",1,A20-A28
A21,Tularemia,1,A20-A28
A21.0,Ulceroglandular tularemia,1,A20-A28
A21.1,Oculoglandular tularemia,1,A20-A28
A21.2,Pulmonary tularemia,1,A20-A28
A21.3,Gastrointestinal tularemia,1,A20-A28
A21.7,Generalized tularemia,1,A20-A28
A21.8,Other forms of tularemia,1,A20-A28
A21.9,"Tularemia, unspecified",1,A20-A28
A22,Anthrax,1,A20-A28
A22.0,Cutaneous anthrax,1,A20-A28
A22.1,Pulmonary anthrax,1,A20-A28
A22.2,Gastrointestinal anthrax,1,A20-A28
A22.7,Anthrax sepsis,1,A20-A28
A22.8,Other forms of anthrax,1,A20-A28
A22.9,"Anthrax, unspecified",1,A20-A28
A23,Brucellosis,1,A20-A28
A23.0,Brucellosis due to Brucella melitensis,1,A20-A28
A23.1,Brucellosis due to Brucella abortus,1,A20-A28
A23.2,Brucellosis due to Brucella suis,1,A20-A28
A23.3,Brucellosis due to Brucella canis,1,A20-A28
A23.8,Other brucellosis,1,A20-A28
A23.9,"Brucellosis, unspecified",1,A20-A28
A24,Glanders and melioidosis,1,A20-A28
A24.0,Glanders,1,A20-A28
A24.1,Acute and fulminating melioidosis,1,A20-A28
A24.2,Subacute and chronic melioidosis,1,A20-A28
A24.3,Other melioidosis,1,A20-A28
A24.9,"Melioidosis, unspecified",1,A20-A28
A25,Rat-bite fevers,1,A20-A28
A25.0,Spirillosis,1,A20-A28
A25.1,Streptobacillosis,1,A20-A28
A25.9,"Rat-bite fever, unspecified",1,A20-A28
A26,Erysipeloid,1,A20-A28
A26.0,Cutaneous erysipeloid,1,A20-A28
A26.7,Erysipelothrix sepsis,1,A20-A28
A26.8,Other forms of erysipeloid,1,A20-A28
A26.9,"Erysipeloid, unspecified",1,A20-A28
A27,Leptospirosis,1,A20-A28
A27.0,Leptospirosis icterohemorrhagica,1,A20-A28
A27.8,Other forms of leptospirosis,1,A20-A28
A27.81,Aseptic meningitis in leptospirosis,1,A20-A28
A27.89,Other forms of leptospirosis,1,A20-A28
A27.9,"Leptospirosis, unspecified",1,A20-A28
A28,"Other zoonotic bacterial diseases, not elsewhere classified",1,A20-A28
A28.0,Pasteurellosis,1,A20-A28
A28.1,Cat-scratch disease,1,A20-A28
A28.2,Extraintestinal yersiniosis,1,A20-A28
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",1,A20-A28
A28.9,"Zoonotic bacterial disease, unspecified",1,A20-A28
A30,Leprosy [Hansen's disease],1,A30-A49
A30.0,Indeterminate leprosy,1,A30-A49
A30.1,Tuberculoid leprosy,1,A30-A49
A30.2,Borderline tuberculoid leprosy,1,A30-A49
A30.3,Borderline leprosy,1,A30-A49
A30.4,Borderline lepromatous leprosy,1,A30-A49
A30.5,Lepromatous leprosy,1,A30-A49
A30.8,Other forms of leprosy,1,A30-A49
A30.9,"Leprosy, unspecified",1,A30-A49
A31,Infection due to other mycobacteria,1,A30-A49
A31.0,Pulmonary mycobacterial infection,1,A30-A49
A31.1,Cutaneous mycobacterial infection,1,A30-A49
A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC),1,A30-A49
A31.8,Other mycobacterial infections,1,A30-A49
A31.9,"Mycobacterial infection, unspecified",1,A30-A49
A32,Listeriosis,1,A30-A49
A32.0,Cutaneous listeriosis,1,A30-A49
A32.1,Listerial meningitis and meningoencephalitis,1,A30-A49
A32.11,Listerial meningitis,1,A30-A49
A32.12,Listerial meningoencephalitis,1,A30-A49
A32.7,Listerial sepsis,1,A30-A49
A32.8,Other forms of listeriosis,1,A30-A49
A32.81,Oculoglandular listeriosis,1,A30-A49
A32.82,Listerial endocarditis,1,A30-A49
A32.89,Other forms of listeriosis,1,A30-A49
A32.9,"Listeriosis, unspecified",1,A30-A49
A33,Tetanus neonatorum,1,A30-A49
A34,Obstetrical tetanus,1,A30-A49
A35,Other tetanus,1,A30-A49
A36,Diphtheria,1,A30-A49
A36.0,Pharyngeal diphtheria,1,A30-A49
A36.1,Nasopharyngeal diphtheria,1,A30-A49
A36.2,Laryngeal diphtheria,1,A30-A49
A36.3,Cutaneous diphtheria,1,A30-A49
A36.8,Other diphtheria,1,A30-A49
A36.81,Diphtheritic cardiomyopathy,1,A30-A49
A36.82,Diphtheritic radiculomyelitis,1,A30-A49
A36.83,Diphtheritic polyneuritis,1,A30-A49
A36.84,Diphtheritic tubulo-interstitial nephropathy,1,A30-A49
A36.85,Diphtheritic cystitis,1,A30-A49
A36.86,Diphtheritic conjunctivitis,1,A30-A49
A36.89,Other diphtheritic complications,1,A30-A49
A36.9,"Diphtheria, unspecified",1,A30-A49
A37,Whooping cough,1,A30-A49
A37.0,Whooping cough due to Bordetella pertussis,1,A30-A49
A37.00,Whooping cough due to Bordetella pertussis without pneumonia,1,A30-A49
A37.01,Whooping cough due to Bordetella pertussis with pneumonia,1,A30-A49
A37.1,Whooping cough due to Bordetella parapertussis,1,A30-A49
A37.10,Whooping cough due to Bordetella parapertussis without pneumonia,1,A30-A49
A37.11,Whooping cough due to Bordetella parapertussis with pneumonia,1,A30-A49
A37.8,Whooping cough due to other Bordetella species,1,A30-A49
A37.80,Whooping cough due to other Bordetella species without pneumonia,1,A30-A49
A37.81,Whooping cough due to other Bordetella species with pneumonia,1,A30-A49
A37.9,"Whooping cough, unspecified species",1,A30-A49
A37.90,"Whooping cough, unspecified species without pneumonia",1,A30-A49
A37.91,"Whooping cough, unspecified species with pneumonia",1,A30-A49
A38,Scarlet fever,1,A30-A49
A38.0,Scarlet fever with otitis media,1,A30-A49
A38.1,Scarlet fever with myocarditis,1,A30-A49
A38.8,Scarlet fever with other complications,1,A30-A49
A38.9,"Scarlet fever, uncomplicated",1,A30-A49
A39,Meningococcal infection,1,A30-A49
A39.0,Meningococcal meningitis,1,A30-A49
A39.1,Waterhouse-Friderichsen syndrome,1,A30-A49
A39.2,Acute meningococcemia,1,A30-A49
A39.3,Chronic meningococcemia,1,A30-A49
A39.4,"Meningococcemia, unspecified",1,A30-A49
A39.5,Meningococcal heart disease,1,A30-A49
A39.50,"Meningococcal carditis, unspecified",1,A30-A49
A39.51,Meningococcal endocarditis,1,A30-A49
A39.52,Meningococcal myocarditis,1,A30-A49
A39.53,Meningococcal pericarditis,1,A30-A49
A39.8,Other meningococcal infections,1,A30-A49
A39.81,Meningococcal encephalitis,1,A30-A49
A39.82,Meningococcal retrobulbar neuritis,1,A30-A49
A39.83,Meningococcal arthritis,1,A30-A49
A39.84,Postmeningococcal arthritis,1,A30-A49
A39.89,Other meningococcal infections,1,A30-A49
A39.9,"Meningococcal infection, unspecified",1,A30-A49
A40,Streptococcal sepsis,1,A30-A49
A40.0,"Sepsis due to streptococcus, group A",1,A30-A49
A40.1,"Sepsis due to streptococcus, group B",1,A30-A49
A40.3,Sepsis due to Streptococcus pneumoniae,1,A30-A49
A40.8,Other streptococcal sepsis,1,A30-A49
A40.9,"Streptococcal sepsis, unspecified",1,A30-A49
A41,Other sepsis,1,A30-A49
A41.0,Sepsis due to Staphylococcus aureus,1,A30-A49
A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,1,A30-A49
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus,1,A30-A49
A41.1,Sepsis due to other specified staphylococcus,1,A30-A49
A41.2,Sepsis due to unspecified staphylococcus,1,A30-A49
A41.3,Sepsis due to Hemophilus influenzae,1,A30-A49
A41.4,Sepsis due to anaerobes,1,A30-A49
A41.5,Sepsis due to other Gram-negative organisms,1,A30-A49
A41.50,"Gram-negative sepsis, unspecified",1,A30-A49
A41.51,Sepsis due to Escherichia coli [E. coli],1,A30-A49
A41.52,Sepsis due to Pseudomonas,1,A30-A49
A41.53,Sepsis due to Serratia,1,A30-A49
A41.54,Sepsis due to Acinetobacter baumannii,1,A30-A49
A41.59,Other Gram-negative sepsis,1,A30-A49
A41.8,Other specified sepsis,1,A30-A49
A41.81,Sepsis due to Enterococcus,1,A30-A49
A41.89,Other specified sepsis,1,A30-A49
A41.9,"Sepsis, unspecified organism",1,A30-A49
A42,Actinomycosis,1,A30-A49
A42.0,Pulmonary actinomycosis,1,A30-A49
A42.1,Abdominal actinomycosis,1,A30-A49
A42.2,Cervicofacial actinomycosis,1,A30-A49
A42.7,Actinomycotic sepsis,1,A30-A49
A42.8,Other forms of actinomycosis,1,A30-A49
A42.81,Actinomycotic meningitis,1,A30-A49
A42.82,Actinomycotic encephalitis,1,A30-A49
A42.89,Other forms of actinomycosis,1,A30-A49
A42.9,"Actinomycosis, unspecified",1,A30-A49
A43,Nocardiosis,1,A30-A49
A43.0,Pulmonary nocardiosis,1,A30-A49
A43.1,Cutaneous nocardiosis,1,A30-A49
A43.8,Other forms of nocardiosis,1,A30-A49
A43.9,"Nocardiosis, unspecified",1,A30-A49
A44,Bartonellosis,1,A30-A49
A44.0,Systemic bartonellosis,1,A30-A49
A44.1,Cutaneous and mucocutaneous bartonellosis,1,A30-A49
A44.8,Other forms of bartonellosis,1,A30-A49
A44.9,"Bartonellosis, unspecified",1,A30-A49
A46,Erysipelas,1,A30-A49
A48,"Other bacterial diseases, not elsewhere classified",1,A30-A49
A48.0,Gas gangrene,1,A30-A49
A48.1,Legionnaires' disease,1,A30-A49
A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever],1,A30-A49
A48.3,Toxic shock syndrome,1,A30-A49
A48.4,Brazilian purpuric fever,1,A30-A49
A48.5,Other specified botulism,1,A30-A49
A48.51,Infant botulism,1,A30-A49
A48.52,Wound botulism,1,A30-A49
A48.8,Other specified bacterial diseases,1,A30-A49
A49,Bacterial infection of unspecified site,1,A30-A49
A49.0,"Staphylococcal infection, unspecified site",1,A30-A49
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",1,A30-A49
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site",1,A30-A49
A49.1,"Streptococcal infection, unspecified site",1,A30-A49
A49.2,"Hemophilus influenzae infection, unspecified site",1,A30-A49
A49.3,"Mycoplasma infection, unspecified site",1,A30-A49
A49.8,Other bacterial infections of unspecified site,1,A30-A49
A49.9,"Bacterial infection, unspecified",1,A30-A49
A50,Congenital syphilis,1,A50-A64
A50.0,"Early congenital syphilis, symptomatic",1,A50-A64
A50.01,Early congenital syphilitic oculopathy,1,A50-A64
A50.02,Early congenital syphilitic osteochondropathy,1,A50-A64
A50.03,Early congenital syphilitic pharyngitis,1,A50-A64
A50.04,Early congenital syphilitic pneumonia,1,A50-A64
A50.05,Early congenital syphilitic rhinitis,1,A50-A64
A50.06,Early cutaneous congenital syphilis,1,A50-A64
A50.07,Early mucocutaneous congenital syphilis,1,A50-A64
A50.08,Early visceral congenital syphilis,1,A50-A64
A50.09,"Other early congenital syphilis, symptomatic",1,A50-A64
A50.1,"Early congenital syphilis, latent",1,A50-A64
A50.2,"Early congenital syphilis, unspecified",1,A50-A64
A50.3,Late congenital syphilitic oculopathy,1,A50-A64
A50.30,"Late congenital syphilitic oculopathy, unspecified",1,A50-A64
A50.31,Late congenital syphilitic interstitial keratitis,1,A50-A64
A50.32,Late congenital syphilitic chorioretinitis,1,A50-A64
A50.39,Other late congenital syphilitic oculopathy,1,A50-A64
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],1,A50-A64
A50.40,"Late congenital neurosyphilis, unspecified",1,A50-A64
A50.41,Late congenital syphilitic meningitis,1,A50-A64
A50.42,Late congenital syphilitic encephalitis,1,A50-A64
A50.43,Late congenital syphilitic polyneuropathy,1,A50-A64
A50.44,Late congenital syphilitic optic nerve atrophy,1,A50-A64
A50.45,Juvenile general paresis,1,A50-A64
A50.49,Other late congenital neurosyphilis,1,A50-A64
A50.5,"Other late congenital syphilis, symptomatic",1,A50-A64
A50.51,Clutton's joints,1,A50-A64
A50.52,Hutchinson's teeth,1,A50-A64
A50.53,Hutchinson's triad,1,A50-A64
A50.54,Late congenital cardiovascular syphilis,1,A50-A64
A50.55,Late congenital syphilitic arthropathy,1,A50-A64
A50.56,Late congenital syphilitic osteochondropathy,1,A50-A64
A50.57,Syphilitic saddle nose,1,A50-A64
A50.59,"Other late congenital syphilis, symptomatic",1,A50-A64
A50.6,"Late congenital syphilis, latent",1,A50-A64
A50.7,"Late congenital syphilis, unspecified",1,A50-A64
A50.9,"Congenital syphilis, unspecified",1,A50-A64
A51,Early syphilis,1,A50-A64
A51.0,Primary genital syphilis,1,A50-A64
A51.1,Primary anal syphilis,1,A50-A64
A51.2,Primary syphilis of other sites,1,A50-A64
A51.3,Secondary syphilis of skin and mucous membranes,1,A50-A64
A51.31,Condyloma latum,1,A50-A64
A51.32,Syphilitic alopecia,1,A50-A64
A51.39,Other secondary syphilis of skin,1,A50-A64
A51.4,Other secondary syphilis,1,A50-A64
A51.41,Secondary syphilitic meningitis,1,A50-A64
A51.42,Secondary syphilitic female pelvic disease,1,A50-A64
A51.43,Secondary syphilitic oculopathy,1,A50-A64
A51.44,Secondary syphilitic nephritis,1,A50-A64
A51.45,Secondary syphilitic hepatitis,1,A50-A64
A51.46,Secondary syphilitic osteopathy,1,A50-A64
A51.49,Other secondary syphilitic conditions,1,A50-A64
A51.5,"Early syphilis, latent",1,A50-A64
A51.9,"Early syphilis, unspecified",1,A50-A64
A52,Late syphilis,1,A50-A64
A52.0,Cardiovascular and cerebrovascular syphilis,1,A50-A64
A52.00,"Cardiovascular syphilis, unspecified",1,A50-A64
A52.01,Syphilitic aneurysm of aorta,1,A50-A64
A52.02,Syphilitic aortitis,1,A50-A64
A52.03,Syphilitic endocarditis,1,A50-A64
A52.04,Syphilitic cerebral arteritis,1,A50-A64
A52.05,Other cerebrovascular syphilis,1,A50-A64
A52.06,Other syphilitic heart involvement,1,A50-A64
A52.09,Other cardiovascular syphilis,1,A50-A64
A52.1,Symptomatic neurosyphilis,1,A50-A64
A52.10,"Symptomatic neurosyphilis, unspecified",1,A50-A64
A52.11,Tabes dorsalis,1,A50-A64
A52.12,Other cerebrospinal syphilis,1,A50-A64
A52.13,Late syphilitic meningitis,1,A50-A64
A52.14,Late syphilitic encephalitis,1,A50-A64
A52.15,Late syphilitic neuropathy,1,A50-A64
A52.16,Charcôt's arthropathy (tabetic),1,A50-A64
A52.17,General paresis,1,A50-A64
A52.19,Other symptomatic neurosyphilis,1,A50-A64
A52.2,Asymptomatic neurosyphilis,1,A50-A64
A52.3,"Neurosyphilis, unspecified",1,A50-A64
A52.7,Other symptomatic late syphilis,1,A50-A64
A52.71,Late syphilitic oculopathy,1,A50-A64
A52.72,Syphilis of lung and bronchus,1,A50-A64
A52.73,Symptomatic late syphilis of other respiratory organs,1,A50-A64
A52.74,Syphilis of liver and other viscera,1,A50-A64
A52.75,Syphilis of kidney and ureter,1,A50-A64
A52.76,Other genitourinary symptomatic late syphilis,1,A50-A64
A52.77,Syphilis of bone and joint,1,A50-A64
A52.78,Syphilis of other musculoskeletal tissue,1,A50-A64
A52.79,Other symptomatic late syphilis,1,A50-A64
A52.8,"Late syphilis, latent",1,A50-A64
A52.9,"Late syphilis, unspecified",1,A50-A64
A53,Other and unspecified syphilis,1,A50-A64
A53.0,"Latent syphilis, unspecified as early or late",1,A50-A64
A53.9,"Syphilis, unspecified",1,A50-A64
A54,Gonococcal infection,1,A50-A64
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,1,A50-A64
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified",1,A50-A64
A54.01,"Gonococcal cystitis and urethritis, unspecified",1,A50-A64
A54.02,"Gonococcal vulvovaginitis, unspecified",1,A50-A64
A54.03,"Gonococcal cervicitis, unspecified",1,A50-A64
A54.09,Other gonococcal infection of lower genitourinary tract,1,A50-A64
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,1,A50-A64
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infection,1,A50-A64
A54.21,Gonococcal infection of kidney and ureter,1,A50-A64
A54.22,Gonococcal prostatitis,1,A50-A64
A54.23,Gonococcal infection of other male genital organs,1,A50-A64
A54.24,Gonococcal female pelvic inflammatory disease,1,A50-A64
A54.29,Other gonococcal genitourinary infections,1,A50-A64
A54.3,Gonococcal infection of eye,1,A50-A64
A54.30,"Gonococcal infection of eye, unspecified",1,A50-A64
A54.31,Gonococcal conjunctivitis,1,A50-A64
A54.32,Gonococcal iridocyclitis,1,A50-A64
A54.33,Gonococcal keratitis,1,A50-A64
A54.39,Other gonococcal eye infection,1,A50-A64
A54.4,Gonococcal infection of musculoskeletal system,1,A50-A64
A54.40,"Gonococcal infection of musculoskeletal system, unspecified",1,A50-A64
A54.41,Gonococcal spondylopathy,1,A50-A64
A54.42,Gonococcal arthritis,1,A50-A64
A54.43,Gonococcal osteomyelitis,1,A50-A64
A54.49,Gonococcal infection of other musculoskeletal tissue,1,A50-A64
A54.5,Gonococcal pharyngitis,1,A50-A64
A54.6,Gonococcal infection of anus and rectum,1,A50-A64
A54.8,Other gonococcal infections,1,A50-A64
A54.81,Gonococcal meningitis,1,A50-A64
A54.82,Gonococcal brain abscess,1,A50-A64
A54.83,Gonococcal heart infection,1,A50-A64
A54.84,Gonococcal pneumonia,1,A50-A64
A54.85,Gonococcal peritonitis,1,A50-A64
A54.86,Gonococcal sepsis,1,A50-A64
A54.89,Other gonococcal infections,1,A50-A64
A54.9,"Gonococcal infection, unspecified",1,A50-A64
A55,Chlamydial lymphogranuloma (venereum),1,A50-A64
A56,Other sexually transmitted chlamydial diseases,1,A50-A64
A56.0,Chlamydial infection of lower genitourinary tract,1,A50-A64
A56.00,"Chlamydial infection of lower genitourinary tract, unspecified",1,A50-A64
A56.01,Chlamydial cystitis and urethritis,1,A50-A64
A56.02,Chlamydial vulvovaginitis,1,A50-A64
A56.09,Other chlamydial infection of lower genitourinary tract,1,A50-A64
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,1,A50-A64
A56.11,Chlamydial female pelvic inflammatory disease,1,A50-A64
A56.19,Other chlamydial genitourinary infection,1,A50-A64
A56.2,"Chlamydial infection of genitourinary tract, unspecified",1,A50-A64
A56.3,Chlamydial infection of anus and rectum,1,A50-A64
A56.4,Chlamydial infection of pharynx,1,A50-A64
A56.8,Sexually transmitted chlamydial infection of other sites,1,A50-A64
A57,Chancroid,1,A50-A64
A58,Granuloma inguinale,1,A50-A64
A59,Trichomoniasis,1,A50-A64
A59.0,Urogenital trichomoniasis,1,A50-A64
A59.00,"Urogenital trichomoniasis, unspecified",1,A50-A64
A59.01,Trichomonal vulvovaginitis,1,A50-A64
A59.02,Trichomonal prostatitis,1,A50-A64
A59.03,Trichomonal cystitis and urethritis,1,A50-A64
A59.09,Other urogenital trichomoniasis,1,A50-A64
A59.8,Trichomoniasis of other sites,1,A50-A64
A59.9,"Trichomoniasis, unspecified",1,A50-A64
A60,Anogenital herpesviral [herpes simplex] infections,1,A50-A64
A60.0,Herpesviral infection of genitalia and urogenital tract,1,A50-A64
A60.00,"Herpesviral infection of urogenital system, unspecified",1,A50-A64
